Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
2650	-963.406	-151.827	-811.579	0.0479695	0.0344936	0.0346215	0.0367891	0.0610473	0.101997	0.0993996	0.138487	0.141169	0.145418	0.0284324	0.0393133	0.0147654	0.0100092	0.0101803	0.0104679	0.0201369	0.0253034	0.0613099	0.0166161	0.922074	0	0.4218482
2700	-959.082	-148.025	-811.057	0.0608098	0.0476558	0.0477715	0.0501854	0.0677452	0.121462	0.0875561	0.127856	0.13115	0.133908	0.0169098	0.0226412	0.0137152	0.00948794	0.00970822	0.00989435	0.0189855	0.0225585	0.0440031	0.00136089	0.954636	0	0.4333988
2750	-964.76	-151.778	-812.982	0.115888	0.106018	0.101829	0.102503	0.105738	0.127619	0.0215788	0.0953259	0.0955507	0.0956781	0.0047962	0.00395293	0.00504904	0.00319739	0.00320437	0.00320302	0.00465962	0.00420825	0.00281908	0.0255735	0.971607	0	0.1038762
2800	-956.873	-146.584	-810.289	0.0549273	0.0517772	0.0524374	0.0547492	0.0657151	0.12063	0.111259	0.119469	0.121408	0.122713	0.0146425	0.0177303	0.0114603	0.0101831	0.0103368	0.010478	0.0231491	0.0269356	0.0249121	0.0129441	0.962144	0	0.8162179
2850	-958.147	-147.536	-810.611	0.0710553	0.0678555	0.0685382	0.0711532	0.0805004	0.116346	0.0830461	0.0907704	0.0923266	0.0925855	0.0181972	0.0184917	0.0186452	0.0162827	0.0165078	0.0167674	0.0293999	0.0315307	0.0278752	0.0425815	0.929543	0	0.7626045
2900	-959.768	-149.881	-809.888	0.0736977	0.070896	0.0702476	0.0703632	0.0721296	0.0855958	0.0167688	0.0278758	0.0286811	0.0285186	0.00374318	0.0028172	0.0792113	0.0733927	0.0738262	0.0732686	0.0765115	0.072455	0.00764775	0.0514879	0.940864	0	0.3365951
2950	-958.227	-147.974	-810.252	0.0539029	0.0520942	0.0524429	0.0535208	0.0608181	0.0549926	0.0782279	0.0820775	0.0828429	0.0821851	0.0164805	0.0115472	0.0525014	0.0498089	0.0501298	0.0507414	0.065075	0.0506108	0.00558588	0.120403	0.874012	0	0.8696029
3000	-958.139	-147.383	-810.756	0.0911046	0.0787689	0.0783425	0.0787629	0.0860177	0.137171	0.0584243	0.0972567	0.0998052	0.0996673	0.00884021	0.0104146	0.013516	0.00993761	0.0101631	0.0101697	0.0144481	0.0171898	0.0112115	0.0381244	0.950664	0	0.3882057
3050	-958.58	-147.176	-811.405	0.0399627	0.0366339	0.0371942	0.0393813	0.0561241	0.11605	0.128528	0.138335	0.140677	0.143814	0.0174811	0.0252943	0.00971212	0.00862509	0.00876119	0.00895629	0.0193057	0.0251638	0.0346999	0.00693108	0.958369	0	0.8136416
3100	-957.223	-146.725	-810.498	0.0690805	0.0573884	0.0581189	0.0582161	0.066405	0.0756414	0.103552	0.133476	0.136935	0.136611	0.00869102	0.0083016	0.0164482	0.012823	0.0131369	0.0131144	0.0173565	0.0147042	0.00930645	0.0311096	0.959584	0	0.5794488
3150	-961.032	-151.417	-809.615	0.0916154	0.0864264	0.0867885	0.0892274	0.0987478	0.121871	0.0557121	0.068051	0.0695063	0.0693614	0.0191555	0.0183495	0.0205787	0.0174175	0.0176564	0.0178754	0.0252135	0.0264467	0.0355037	0.097178	0.867318	0	0.5816384
3200	-958.573	-149.245	-809.328	0.0684367	0.0569557	0.0574852	0.0572943	0.0664859	0.00950801	0.109011	0.136417	0.139351	0.138003	0.0156589	0.00189734	0.0313412	0.0246501	0.0251378	0.0249504	0.0333316	0.00408526	0.00053503	0.0786976	0.920767	0	0.5833519
3250	-958.313	-147.758	-810.554	0.0945604	0.0821833	0.0821538	0.0820912	0.0909116	0.027356	0.0778169	0.109438	0.111908	0.110812	0.0160979	0.00383478	0.0237405	0.0183869	0.0187431	0.0186269	0.025038	0.00630084	0.00115689	0.0956703	0.903173	0	0.4768138
3300	-959.517	-148.796	-810.721	0.0746237	0.0609567	0.0600297	0.0620422	0.0755316	0.108804	0.0587977	0.101206	0.102657	0.103556	0.0209002	0.0240265	0.0264935	0.0189925	0.0192122	0.0194139	0.0289409	0.0338158	0.0290189	0.0807831	0.890198	0	0.3028294
3350	-956.27	-145.713	-810.557	0.0400397	0.0391937	0.0396518	0.0417333	0.0528876	0.132113	0.140508	0.144181	0.145458	0.147643	0.0127298	0.0181538	0.00494231	0.00477444	0.00481421	0.00488577	0.0116871	0.0146034	0.0199611	0.00173176	0.978307	0	0.9393241
3400	-959.781	-150.028	-809.753	0.0685282	0.0621079	0.0629125	0.0648812	0.0789643	0.106584	0.071663	0.0864391	0.0882799	0.0892473	0.0171268	0.0199705	0.0293083	0.0258012	0.0262252	0.0266167	0.0352405	0.0401033	0.0410173	0.0757365	0.883246	0	0.6674674
3450	-960.248	-150.06	-810.188	0.0916522	0.0882425	0.0888357	0.0905266	0.0996886	0.126859	0.067638	0.0742235	0.0752692	0.0746264	0.0170401	0.0168141	0.0137726	0.0125476	0.0126925	0.0127596	0.0178471	0.0189651	0.01091	0.131816	0.857274	0	0.7852816
3500	-957.282	-146.551	-810.731	0.0499333	0.0483044	0.0484154	0.0483806	0.0496585	0.0503754	0.169945	0.173394	0.17429	0.174114	0.00210298	0.00149218	0.00172521	0.00162161	0.00162988	0.00162847	0.00183857	0.00115109	0.000986453	0.00341953	0.995594	0	0.9203325
3550	-961.338	-151.01	-810.328	0.121741	0.110746	0.110112	0.111188	0.116419	0.159877	0.0272296	0.0732791	0.0748144	0.075204	0.00301024	0.00356758	0.00223148	0.001691	0.00172509	0.00173404	0.00258021	0.00284984	0.0182386	0.00341907	0.978342	0	0.2618648
3600	-958.643	-148.634	-810.009	0.0451102	0.0403129	0.0407503	0.0431968	0.0585452	0.0902142	0.105037	0.117114	0.11914	0.120204	0.0327236	0.0372921	0.0218125	0.0182701	0.0185219	0.018934	0.033661	0.0391602	0.0381068	0.0717597	0.890134	0	0.691363
3650	-957.607	-147.343	-810.263	0.101927	0.0909514	0.0903878	0.0919868	0.0999606	0.145552	0.0480465	0.0852315	0.0876942	0.0882089	0.00753608	0.00854203	0.00947283	0.0067691	0.00694446	0.00698969	0.0114242	0.0123743	0.0244223	0.0102247	0.965353	0	0.3647526
3700	-957.488	-147.297	-810.192	0.0396159	0.0286182	0.0279086	0.02776	0.0331075	0.0306533	0.130501	0.167209	0.170185	0.168988	0.0147862	0.00746707	0.0347877	0.0204417	0.0207659	0.0206827	0.0370214	0.0195013	0.0013836	0.0337001	0.964916	0	0.4087318
3750	-959.244	-149.45	-809.794	0.0655482	0.0629864	0.0636267	0.0662996	0.0784336	0.107896	0.0867335	0.0923645	0.0935169	0.0934744	0.0252896	0.0262545	0.0199706	0.0183804	0.018556	0.0189046	0.02925	0.0325142	0.0281793	0.105384	0.866437	0	0.822895
3800	-957.1	-147.471	-809.629	0.0853313	0.0744516	0.0753092	0.0751695	0.0804151	0.131459	0.0784214	0.10725	0.110465	0.110209	0.00406296	0.00522972	0.0113224	0.00915367	0.00940002	0.00937791	0.0111597	0.0118126	0.00900045	0.0125146	0.978485	0	0.567104
3850	-959.781	-148.935	-810.846	0.0811446	0.0710948	0.0718383	0.0740636	0.0864718	0.146211	0.0820119	0.109447	0.112786	0.114229	0.010142	0.0128968	0.00407075	0.00313812	0.0032282	0.00326781	0.0064454	0.00751254	0.0311505	0.00131123	0.967538	0	0.5574393
3900	-958.52	-147.847	-810.674	0.0728658	0.0609345	0.0607875	0.0633307	0.0766396	0.126244	0.0681887	0.106371	0.109328	0.111004	0.0133447	0.0164538	0.0206638	0.0155212	0.0158401	0.0160249	0.0224904	0.023968	0.0386387	0.00253774	0.958824	0	0.4066337
3950	-956.007	-145.587	-810.42	0.0468006	0.0391559	0.0392241	0.0396847	0.0465196	0.112867	0.126528	0.147619	0.150794	0.150931	0.0103412	0.0136923	0.0113044	0.00819649	0.00836288	0.00840029	0.0179805	0.0215974	0.00957748	0.011219	0.979204	0	0.604347
4000	-966.239	-152.656	-813.583	0.0712335	0.0666421	0.0677809	0.0711678	0.0906618	0.129947	0.0928803	0.104047	0.106194	0.109167	0.0151365	0.0187535	0.00756725	0.00687253	0.0070082	0.00719999	0.0127082	0.0150336	0.0601289	0.00948791	0.930383	0	0.7945085
4050	-961.537	-151.407	-810.129	0.0342136	0.0334758	0.0337593	0.0356287	0.0495292	0.0623221	0.140665	0.142406	0.143062	0.142745	0.0392433	0.0360824	0.0140394	0.0135795	0.0136358	0.0138725	0.0262646	0.0254756	0.00860874	0.119001	0.87239	0	0.9453288
4100	-964.581	-153.437	-811.144	0.106925	0.0920353	0.0922741	0.0937983	0.103839	0.145069	0.0369521	0.0862775	0.0876301	0.0886239	0.00672876	0.00860813	0.0089398	0.00719655	0.00730284	0.00738279	0.00927131	0.0111456	0.0259563	0.0306123	0.943431	0	0.2990806
4150	-963.002	-152.758	-810.244	0.0694361	0.0551777	0.0525637	0.0545096	0.0654189	0.105058	0.0616711	0.117379	0.118039	0.118487	0.0251168	0.0273796	0.0255278	0.015288	0.0153595	0.0154375	0.0265489	0.0316025	0.0116422	0.0886818	0.899676	0	0.1924458
4200	-959.973	-150.486	-809.487	0.140965	0.140861	0.14112	0.142093	0.144514	0.152351	0.0189827	0.0191317	0.0191683	0.0188955	0.00455765	0.00386648	0.00816618	0.00806977	0.00808076	0.00813889	0.0107223	0.0103159	0.0222995	0.122853	0.854847	0	0.9722282
4250	-962.368	-152.652	-809.716	0.0820745	0.081703	0.082744	0.087067	0.0997996	0.130251	0.083857	0.0853354	0.0859244	0.0867352	0.0224994	0.0233032	0.00580135	0.00570685	0.00574097	0.0058313	0.0125134	0.0131124	0.0545648	0.0279575	0.917478	0	0.9622916
4300	-958.317	-146.889	-811.428	0.0595957	0.0593546	0.0598641	0.0620549	0.0728582	0.139152	0.1188	0.120982	0.121836	0.123926	0.00742045	0.0104997	0.00579834	0.00576376	0.00580185	0.00589968	0.00931407	0.0110789	0.0218558	0.0037145	0.97443	0	0.9753666
4350	-958.791	-148.747	-810.044	0.0516997	0.0436618	0.0434102	0.0450878	0.0542617	0.101541	0.0870458	0.113684	0.116667	0.117544	0.0158836	0.0184361	0.033146	0.0229706	0.0234577	0.0236462	0.0423306	0.0455261	0.0259922	0.00632415	0.967684	0	0.4739019
4400	-959.022	-149.869	-809.153	0.0498752	0.0449316	0.0448727	0.0446391	0.0476953	0.0709036	0.0837181	0.0966467	0.0986794	0.0980267	0.00675679	0.00535814	0.0588277	0.0509187	0.0514185	0.0507452	0.0548492	0.0411373	0.0021732	0.0264612	0.971366	0	0.6366626
