Iteration	Posterior	Likelihood	Prior	rf_simplex[1]	rf_simplex[2]	rf_simplex[3]	rf_simplex[4]	rf_simplex[5]	rf_simplex[6]	rf_simplex[7]	rf_simplex[8]	rf_simplex[9]	rf_simplex[10]	rf_simplex[11]	rf_simplex[12]	rf_simplex[13]	rf_simplex[14]	rf_simplex[15]	rf_simplex[16]	rf_simplex[17]	rf_simplex[18]	w_graph[1]	w_graph[2]	w_graph[3]	y_marginal	y_subdominant
2550	-959.828	-148.992	-810.836	0.0509642	0.022063	0.0102687	0.0105702	0.0562031	0.0560751	0.0736811	0.0686198	0.0679122	0.0702973	0.0770448	0.0751152	0.0172305	0.0960374	0.0953626	0.0980527	0.016975	0.0375272	0.0468144	0.0673974	0.885788	0	0.248674
2600	-960.145	-150.465	-809.68	0.0743822	0.0393879	0.0163168	0.0163991	0.0823152	0.081862	0.078879	0.0839317	0.0848183	0.0838998	0.080308	0.0778152	0.00637207	0.0564694	0.0568153	0.0563911	0.00616653	0.0174702	0.0408951	0.0224541	0.936651	0	0.2525584
2650	-961.943	-151.624	-810.318	0.0557299	0.0193245	0.0172265	0.0182535	0.0628756	0.0646846	0.0713962	0.0653428	0.0639671	0.0666611	0.071804	0.0710462	0.0279343	0.0925768	0.0915897	0.0942254	0.0236247	0.0217371	0.0140662	0.138189	0.847745	0	0.03668428
2700	-960.113	-149.987	-810.126	0.0728149	0.0278238	0.0242555	0.0252423	0.0804248	0.0823538	0.0631185	0.0603953	0.0600006	0.0609991	0.0628082	0.0608474	0.0234709	0.0843718	0.0839906	0.0850723	0.0207728	0.0212376	0.00831442	0.181856	0.809829	0	0.05671542
2750	-961.656	-148.758	-812.898	0.072945	0.0282884	0.0125255	0.0129687	0.0829101	0.0832169	0.071651	0.0759966	0.0764259	0.0774437	0.0759116	0.0740279	0.0107205	0.0715361	0.0717508	0.0725453	0.00973774	0.0193982	0.0134234	0.0778724	0.908704	0	0.1898182
2800	-962.544	-152.282	-810.262	0.0362979	0.0201598	0.0150088	0.015522	0.0394617	0.0400978	0.0806545	0.0724849	0.0722526	0.0741189	0.0814974	0.0783807	0.0406659	0.0829905	0.0827965	0.0840839	0.0376994	0.0458269	0.00518381	0.31267	0.682146	0	0.2527775
2850	-957.583	-148.237	-809.346	0.0818784	0.0556133	0.0088197	0.00914896	0.0949682	0.0941956	0.062883	0.0695246	0.069959	0.0714315	0.0686375	0.0664928	0.00519395	0.0670158	0.0672668	0.0683093	0.0051355	0.0335261	0.0100577	0.0431357	0.946807	0	0.4925526
2900	-958.353	-148.979	-809.374	0.098009	0.0790257	0.0195126	0.0196798	0.106756	0.105125	0.0603633	0.0657594	0.0681046	0.0683493	0.0614936	0.0579474	0.00476886	0.050504	0.0515194	0.0517227	0.00466789	0.0266916	0.0325948	0.0223053	0.9451	0	0.5619761
2950	-957.589	-147.472	-810.117	0.0859298	0.0645784	0.00863595	0.00901349	0.101506	0.10113	0.0626591	0.0689378	0.0691656	0.0705026	0.0677753	0.0658513	0.00360719	0.0613551	0.0614644	0.0622558	0.00351216	0.0321205	0.00752768	0.028572	0.9639	0	0.5280497
3000	-960.252	-150.712	-809.54	0.0434654	0.0328883	0.00661124	0.00686776	0.0488984	0.0486988	0.0826168	0.081718	0.082201	0.0843005	0.0862859	0.082946	0.0117262	0.0787958	0.0789903	0.0800378	0.0111613	0.0517906	0.00776305	0.0672173	0.92502	0	0.6161893
